,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
3209,PLAG,3.34,3.48,1.65,2.68,52.55,29.62,22.93
2826,APA,23.2,23.14,4.02,17.84,82.63,59.72,22.91
1639,CVX,118.48,118.64,54.22,91.48,54.3,31.41,22.89
2561,TACT,11.79,11.6,2.96,8.97,74.49,51.8,22.7
551,JAX,10.13,10.48,3.17,8.1,69.74,47.05,22.69
2401,GIFI,5.19,5.3,2.71,4.1,48.87,26.22,22.65
1640,THMO,4.41,4.41,1.72,3.41,60.97,38.34,22.63
3081,Y,780.45,780.49,451.86,604.69,42.11,19.58,22.52
1707,GWB,34.3,34.02,11.55,26.36,66.05,43.53,22.51
603,ANAT,118.73,119.02,64.61,92.47,45.71,23.41,22.31
1828,FSK,23.6,23.8,9.44,18.5,60.33,38.07,22.26
1721,WNEB,9.67,9.63,4.66,7.49,51.61,29.39,22.22
2676,BBSI,88.36,88.49,29.0,68.83,67.23,45.01,22.21
1274,CVCY,20.86,20.86,10.73,16.23,48.56,26.37,22.19
1697,FLIC,23.74,23.63,12.7,18.43,46.26,24.24,22.02
2217,SR,83.96,82.94,51.52,64.75,37.88,15.95,21.93
485,DXC,32.48,32.63,9.31,25.48,71.47,49.56,21.91
1073,NHC,83.31,83.32,56.96,65.17,31.64,9.85,21.78
2567,CPA,103.33,102.92,27.65,80.54,73.13,51.39,21.75
2775,BCOR,22.01,22.42,8.82,17.55,60.67,38.93,21.73
1282,PBA,35.81,36.1,11.66,28.26,67.7,45.98,21.72
634,MSBI,27.45,27.34,12.62,21.41,53.83,32.16,21.68
2298,VSAT,72.17,73.11,27.46,57.26,62.44,40.76,21.67
1916,WEYS,24.75,24.69,15.15,19.36,38.64,17.05,21.59
3122,MAIN,43.11,42.93,15.74,33.69,63.34,41.81,21.52
2265,TRST,8.59,8.45,4.52,6.63,46.48,24.98,21.49
2698,AYTU,10.4,10.58,3.5,8.31,66.92,45.47,21.45
2382,HTBK,12.32,12.13,6.2,9.53,48.88,27.45,21.43
