Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-03,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-06,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-07,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-08,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-09,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-13,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-14,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-15,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-16,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-17,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-20,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-21,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-22,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-23,24.190000534057617,24.190000534057617,24.190000534057617,24.190000534057617,24.190000534057617,300
2020-04-24,24.190000534057617,24.190000534057617,24.190000534057617,24.190000534057617,24.190000534057617,0
2020-04-27,23.31999969482422,23.31999969482422,23.100000381469727,23.100000381469727,23.100000381469727,5600
2020-04-28,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,0
2020-04-29,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,0
2020-04-30,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,0
2020-05-01,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,4500
2020-05-04,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,0
2020-05-05,22.93000030517578,22.93000030517578,22.700000762939453,22.700000762939453,22.700000762939453,500
2020-05-06,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-07,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-08,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-11,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-12,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-13,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-14,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-15,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,0
2020-05-18,20.440000534057617,20.440000534057617,20.440000534057617,20.440000534057617,20.440000534057617,400
2020-05-19,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,100
2020-05-20,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,0
2020-05-21,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,7400
2020-05-22,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,0
2020-05-26,19.93000030517578,19.93000030517578,19.93000030517578,19.93000030517578,19.93000030517578,8400
2020-05-27,21.0,21.0,21.0,21.0,21.0,100
2020-05-28,21.0,21.0,21.0,21.0,21.0,0
2020-05-29,21.0,21.0,21.0,21.0,21.0,0
2020-06-01,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,100
2020-06-02,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-03,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-04,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-05,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-08,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-09,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-10,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-11,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-12,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-15,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-16,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-17,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-18,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-19,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-22,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0
2020-06-23,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,1000
2020-06-24,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,0
2020-06-25,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,0
2020-06-26,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,0
2020-06-29,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,200
2020-06-30,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,0
2020-07-01,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,0
2020-07-02,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,0
